21	4
Time	Progenitor_1	Progenitor_2	MatureCells_P3	CumulatedOutput
0	12	4	1	0
2	9.50419	12.644	2.03876	0.138724
4	7.11434	19.6975	4.30955	0.449021
6	4.96675	22.9826	7.08447	1.01716
8	3.58023	23.8032	9.83423	1.86478
10	2.75942	23.3098	12.2843	2.97383
12	2.27492	22.2037	14.3293	4.30804
14	1.98125	20.8654	15.9552	5.82568
16	1.79778	19.4926	17.191	7.48605
18	1.6809	18.1851	18.0842	9.25245
20	1.60644	16.9902	18.6876	11.0932
22	1.56043	15.9274	19.0527	12.982
24	1.53433	15.0011	19.2267	14.8974
26	1.52264	14.2072	19.2516	16.8224
28	1.52157	13.5376	19.1637	18.744
30	1.52842	12.9818	18.9937	20.6524
32	1.54115	12.5285	18.7671	22.5408
34	1.55813	12.1665	18.505	24.4047
36	1.57807	11.8845	18.2242	26.2412
38	1.59985	11.672	17.9382	28.0493
40	1.62256	11.519	17.6571	29.829
