21	4
Time	Progenitor_1	Progenitor_2	MatureCells_P3	CumulatedOutput
0	12	2	1	0
2	20.6558	3.10744	1.26276	0.111913
4	28.7078	4.88549	1.71914	0.259085
6	34.1807	6.98476	2.42065	0.463971
8	37.3802	9.12861	3.36574	0.751374
10	38.8004	11.1242	4.51769	1.14403
12	38.9485	12.8575	5.82109	1.65997
14	38.2463	14.276	7.21457	2.31125
16	37.0101	15.3693	8.63928	3.10391
18	35.4646	16.1534	10.0436	4.03842
20	33.7647	16.6587	11.3855	5.11055
22	32.0153	16.9221	12.6328	6.31236
24	30.2862	16.9826	13.7626	7.63318
26	28.6223	16.8777	14.7607	9.06048
28	27.0522	16.6421	15.6195	10.5807
30	25.5921	16.3067	16.3378	12.1797
32	24.2507	15.8984	16.9183	13.8436
34	23.0309	15.4404	17.3675	15.559
36	21.932	14.9519	17.6943	17.313
38	20.9507	14.4489	17.9092	19.0941
40	20.0822	13.9443	18.0237	20.8915
